code,name,lecturer,description,ects
ME5BIO3,5BIO3 TISSUE ENGINEERING,ME5BIO3,ME5BIO3,0
ME5BIO4,5BIO4 FINITE ELEMENT ANALYSIS,ME5BIO4,ME5BIO4,0
ME5BIO7,5BIO7 ADVANCED MEDICAL IMAGING,ME5BIO7,ME5BIO7,0
ME5BIO8,5BIO8 IMPLANTED DEVICES AND SYSTEMS,ME5BIO8,ME5BIO8,0
ME5BIO9,5BIO9 FOUNDATION MEDICAL DEVICES DESIGN,ME5BIO9,ME5BIO9,0
EE5C01,5C1 MOTION PICTURE ENGINEERING,EE5C01,EE5C01,0
EE5C16,5C16 DEEP LEARNING AND ITS APPLICATIONS,EE5C16,EE5C16,0
EE5C02,5C2 WIRELESS NETWORKS AND COMMUNICATIONS,EE5C02,EE5C02,0
EE5C03,5C3 STATISTICAL SIGNAL PROCESSING,EE5C03,EE5C03,0
EE5C04,5C4 SPEECH AND AUDIO ENGINEERING,EE5C04,EE5C04,0
EE5C07,5C7 COMPLEX SYSTEMS SCIENCE,EE5C07,EE5C07,0
EE5E01,5E01 BIOMEDICAL ENGINEERING RESEARCH PROJECT,EE5E01,EE5E01,0
ME5E01,5E01 BIOMEDICAL ENGINEERING RESEARCH PROJECT,ME5E01,ME5E01,0
CE5E1,5E1 CIVIL ENGINEERING RESEARCH PROJECT,CE5E1,CE5E1,0
EE5E1,5E1 ELECTRONIC ENGINEERING RESEARCH PROJECT,EE5E1,EE5E1,0
ME5EM1,5E1 ENGINEERING WITH MANAGEMENT RESEARCH PROJECT,ME5EM1,ME5EM1,0
CS5E1,5E1 COMPUTER ENGINEERING RESEARCH PROJECT,CS5E1,CS5E1,0
ME5E1,5E1 MECHANICAL ENGINEERING RESEARCH PROJECT,ME5E1,ME5E1,0
CE5E2,5E2 RESEARCH METHODS,CE5E2,CE5E2,0
ME5E2,5E2RESEARCH METHODS,ME5E2,ME5E2,0
ME5E3,5E3 INNOVATION IN PRODUCT DEVELOPMENT,ME5E3,ME5E3,0
ME5E4,5E4 INTRODUCTION TO COMPUTATIONAL FLUID MECHANICS,ME5E4,ME5E4,0
EE5M01,5M01 INTEGRATED SYSTEMS DESIGN,EE5M01,EE5M01,0
EE5M02,5M02 MICROELECTRONIC CIRCUITS,EE5M02,EE5M02,0
EE5M1,5M1 MANAGEMENT FOR ENGINEERS,EE5M1,EE5M1,0
ME5M01,5M1 MECHANICS OF SOLIDS,ME5M01,ME5M01,0
ME5M12,5M12 ACOUSTICS,ME5M12,ME5M12,0
ME5M13,5M13 FLUID MECHANICS,ME5M13,ME5M13,0
EE5M16,5M16 MACHINE LEARNING WITH APPLICATIONS IN MEDIA ENGINEERING,EE5M16,EE5M16,0
ME5M17,5M17 MULTIBODY DYNAMICS,ME5M17,ME5M17,0
ME5M19,5M19 BIOMECHANICS,ME5M19,ME5M19,0
ME5M02,5M2 FORENSIC MATERIALS ENGINEERING,ME5M02,ME5M02,0
ME5M20,5M20 BIOMATERIALS,ME5M20,ME5M20,0
ME5M21,5M21 THERMAL ENGINEERING AND TECHNOLOGY,ME5M21,ME5M21,0
ME5M03,5M3 THERMODYNAMICS,ME5M03,ME5M03,0
ME5M04,5M4 HEAT TRANSFER,ME5M04,ME5M04,0
ME5M05,5M5 MANUFACTURING TECHNOLOGY,ME5M05,ME5M05,0
ME5M06,5M6 MANUFACTURING SYSTEMS AND PROJECT MANAGEMENT,ME5M06,ME5M06,0
ME5M07,5M7 COMPUTER AIDED ENGINEERING,ME5M07,ME5M07,0
ME5MM1,5MEMS1 ADVANCED MANUFACTURING II  ADDITIVE MANUFACTURING AND LASER PROCESSING,ME5MM1,ME5MM1,0
ME5MM2,5MEMS2 ADVANCED MANUFACTURING,ME5MM2,ME5MM2,0
ME5MM3,5MEMS3 SUPPLY CHAIN MANAGEMENT,ME5MM3,ME5MM3,0
ME5MM7,5MEMS7 RISK MANAGEMENT AND SAFETY ASSESSMENT SYSTEMS,ME5MM7,ME5MM7,0
ME7B13,7B13 ADVANCED CELL AND TISSUE ENGINEERING,ME7B13,ME7B13,0
